index,words,jyutping,meanings,note,category_1,category_2,category_3
1,*哋1,dei6,詞尾，表示人稱的複數。,[普通話的"們"除用於人稱"我們、你們"等之外，也可用於其他一些名詞，如"同學們、工人們"，廣州話的"哋"衹能用於人稱代詞"我哋、你哋"等],一、人物,一A泛稱,一A1人稱、指代
2,我哋,ngo5 dei6,我們；咱們。你哋去，～唔去。（你們去，我們不去。）│你係廣州人，我又係廣州人，～都係廣州人。（你是廣州人，我也是廣州人。咱們都是廣州人。）,[普通話的"我們"不包括聽話的人，"咱們"包括在內，廣州話沒有這樣的區別]。,一、人物,一A泛稱,一A1人稱、指代
3,你哋,nei5 dei6,你們。,,一、人物,一A泛稱,一A1人稱、指代
4,佢,keoi5,。他；她。～係我嘅朋友。（他是我的朋友。）│我中意～。（我喜歡她。）,,一、人物,一A泛稱,一A1人稱、指代
5,佢哋,keoi5 dei6,他們；她們。,,一、人物,一A泛稱,一A1人稱、指代
6,人哋,jan4 dei6,人家；別人。～點講，你就點做。（人家怎麼說，你就怎麼做。）│～做得，我都做得。（別人做得，我也做得。）,,一、人物,一A泛稱,一A1人稱、指代
7,邊個,bin1 go3,誰。～打爛個花樽？（誰打破了花瓶？）,,一、人物,一A泛稱,一A1人稱、指代
8,阿邊個,aa3 bin1 go3,誰。～去咗街？（誰上街去了？）,[用法與"邊個"相同，但有時表示有點看不起或嘲諷的意思],一、人物,一A泛稱,一A1人稱、指代

